Object ID,Asset ID,Map Label,Asset Name,Asset Type,Asset Subtype,Quantity,Functional Area ID,Property ID,Facility ID,Floor ID,Geom
52,150529,Trash Can,Picnic Area 1 Trash Cans,Trash Can,,4,464,49,421,,"(37.750439131, -122.404413346)"
53,150529,Trash Can,Picnic Area 1 Trash Cans,Trash Can,,4,464,49,421,,"(37.7504493309, -122.404405154)"
54,150528,Trash Can,Performance Space Trash Cans,Trash Can,,1,426,49,403,,"(37.7503635071, -122.404801621)"
56,150525,Trash Can,Concrete Pathway Trash Cans,Trash Can,,2,12680,49,11772,,"(37.7501539192, -122.405341082)"
58,150527,Trash Can,Turf Trash Cans,Trash Can,,5,11888,49,11771,,"(37.7501322673, -122.405046418)"
84,149758,Trash Can,Asphalt Pathway Trash Cans,Trash Can,,2,72938,63,12633,,"(37.7609411558, -122.426323259)"
85,149758,Trash Can,Asphalt Pathway Trash Cans,Trash Can,,2,72938,63,12633,,"(37.7613227927, -122.426352953)"
86,149769,Trash Can,Turf Trash Cans,Trash Can,,3,19160,63,11808,,"(37.7611409352, -122.427285116)"
89,149765,Trash Can,Concrete Pathway Trash Cans,Trash Can,,7,12635,63,12633,,"(37.7597065124, -122.42682384)"
90,149765,Trash Can,Concrete Pathway Trash Cans,Trash Can,,7,12635,63,12633,,"(37.7595886347, -122.426796371)"
93,149770,Trash Can,Picnic Area 3 Trash Cans,Trash Can,,1,461,63,418,,"(37.7595802504, -122.427375575)"
95,149765,Trash Can,Concrete Pathway Trash Cans,Trash Can,,7,12635,63,12633,,"(37.759752868, -122.426150544)"
96,145462,Trash Can,North Pathway Trash Cans,Trash Can,,2,23801,147,23800,,"(37.8010972907, -122.410225589)"
97,145466,Trash Can,North East Pathway PB Trash Cans,Trash Can,,2,23801,147,23800,,"(37.801015431, -122.409513032)"
128,143926,Trash Can,Lawn Area Trashcan,Trash Can,,8,11904,129,11750,,"(37.7914350711, -122.438779128)"
129,145466,Trash Can,North East Pathway PB Trash Cans,Trash Can,,2,23801,147,23800,,"(37.8011194221, -122.409983531)"
131,143926,Trash Can,Lawn Area Trashcan,Trash Can,,8,11904,129,11750,,"(37.7917185111, -122.437950136)"
132,143926,Trash Can,Lawn Area Trashcan,Trash Can,,8,11904,129,11750,,"(37.791744784, -122.437672234)"
146,145455,Trash Can,Pathway Trash Cans,Trash Can,,5,23801,147,23800,,"(37.8004972715, -122.409315438)"
147,145455,Trash Can,Pathway Trash Cans,Trash Can,,5,23801,147,23800,,"(37.8012589688, -122.409440903)"
148,145455,Trash Can,Pathway Trash Cans,Trash Can,,5,23801,147,23800,,"(37.8010757767, -122.410912314)"
149,145455,Trash Can,Pathway Trash Cans,Trash Can,,5,23801,147,23800,,"(37.8008250661, -122.410767642)"
150,145455,Trash Can,Pathway Trash Cans,Trash Can,,5,23801,147,23800,,"(37.8006466397, -122.410515779)"
187,143474,Trash Can,Basketball Court Trash Can,Trash Can,,1,23723,107,23721,,"(37.7838311676, -122.451238417)"
189,153059,Trash Can,Tennis Court Trash Can,Trash Can,,1,779,107,637,,"(37.7839184251, -122.451624015)"
196,143476,Trash Can,Softball Trash Can,Trash Can,,1,37,107,22,,"(37.7841499862, -122.450672583)"
197,153060,Trash Can,Children's Play Area Trash Can,Trash Can,,1,551,107,485,,"(37.7837492825, -122.451096727)"
201,143465,Trash Can,Hardscaped Area Trash Cans,Trash Can,55 gallon,2,23386,98,23382,,"(37.7828559881, -122.490973648)"
205,143465,Trash Can,Hardscaped Area Trash Cans,Trash Can,55 gallon,2,23386,98,23382,,"(37.7828757497, -122.490641662)"
218,145462,Trash Can,North Pathway Trash Cans,Trash Can,,2,23801,147,23800,,"(37.801073123, -122.410436826)"
251,148564,Trash Can,Tennis Court 1 Trash Can,Trash Can,,1,823,100,659,,"(37.7851013124, -122.478332389)"
252,148565,Trash Can,Basketball Court 1 Trash Can,Trash Can,,1,129,100,92,,"(37.7850949949, -122.478302785)"
266,148833,Trash Can,Ballfield Trash Can,Trash Can,,1,10446,7,10321,,"(37.7437919324, -122.440498702)"
267,148836,Trash Can,Concrete Pathway Trash Cans,Trash Can,,2,12496,7,12495,,"(37.7433079157, -122.441221248)"
268,148838,Trash Can,Perennial Bed Trash Cans,Trash Can,,1,74740,7,11820,,"(37.7442491688, -122.440344196)"
269,148834,Trash Can,Children's Play Area Trash Can,Trash Can,,1,11649,7,10484,,"(37.7435157475, -122.440207179)"
272,148212,Trash Can,Multi-Use Ball Field Trash Cans,Trash Can,,2,99001,52,30,,"(37.7551258415, -122.3972139)"
273,148212,Trash Can,Multi-Use Ball Field Trash Cans,Trash Can,,2,99001,52,30,,"(37.7554027028, -122.397495278)"
